,STATE,STATEABBRV,COUNTY,POPULATION,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,RESL_VALUE,RESL_SCORE,RESL_RATNG,RESL_SPCTL,COUNTY_Name,Access to Exercise Opportunities,Food Environment Index,Primary Care Physicians,Air Pollution: Particulate Matter,Broadband Access,Life Expectancy,Traffic Volume,Homeownership,Access to Parks,Average Temperature F,Maximum Temperature F,Minimum Temperature F,Precipitation_inches,median_sale_price,median_list_price,median_ppsf,homes_sold,new_listings,inventory,months_of_supply,median_dom_months,Unemployment_Rate,crime_rate_per_100000,Family,Monthly_Housing,Monthly_Food,Monthly_Transportation,Monthly_Healthcare,Monthly_Other Necessities ,Monthly_Childcare,Monthly_Taxes,Monthly_Total,ranking_score,RISK_RATNG_score,RESL_RATNG_score,rank
1364,MINNESOTA,MN,LAKEOFTHEWOODS,0.000368592,0.999891428,0.976129854,Very Low,0.95779383,0.883108809,0.985999985,Very High,0.861523784,LAKE OF THE WOODS,0.665958012,0.83,0.045058111,0.899470899,0.763751444,0.619579629,0.994511017,0.86526702,0.074940207,0.41442953,0.438271605,0.354237288,0.119775664,0.048736017,0.051801274,1,0.001082462,0.001039066,0.001608089,0.929292929,0.92038835,0.811764706,0.97099373,2p1c,0.87585852,0.841085254,0.160671463,0.809104655,0.863496299,0.733568083,0.831174132,0.845964392,0.636192403,1,1,11
2861,VIRGINIA,VA,CRAIG,0.000481628,0.99996099,0.994589433,Very Low,0.988855538,0.640135468,0.456699982,Relatively Moderate,0.328182115,CRAIG,0.940106296,0.85,0.07081486,0.867724868,0.765577801,0.493623294,0.999589799,0.852777257,0.940106296,0.617449664,0.62654321,0.559322034,0.182979761,0.082496633,0.063572841,0.02281767,0.000780793,0.000607246,0.000477803,0.96969697,0.963754045,0.829411765,0.934376793,2p1c,0.931365935,0.81201549,0.244967133,0.854230206,0.905772908,0.839383251,0.884225232,0.93157675,0.636176244,1,1,12
2782,TEXAS,TX,WINKLER,0.000771164,0.999889686,0.974538511,Very Low,0.976284585,0.544757859,0.186200008,Very Low,0.395256917,WINKLER,0.977281479,0.82,0.0464618,0.851851852,0.785754986,0.427824092,0.960409407,0.888385276,0.958285201,0.83557047,0.887345679,0.711864407,0.022579859,0.04523176,0.034088749,0.016666373,0.000727557,0.000850145,0.00094533,0.939393939,0.974973031,0.817647059,0.760261613,2p1c,0.863914994,0.906976738,0.394243775,0.809316268,0.871488101,0.809200708,0.970403948,0.943734744,0.635284452,1,1,13
2803,UTAH,UT,MORGAN,0.00122241,0.999720956,0.908020369,Very Low,0.796238245,0.83356436,0.958600006,Very High,0.896142838,MORGAN,0.94249695,0.97,0.136096338,0.849206349,0.898374764,0.672359514,0.992500155,0.926015846,0.556649044,0.461409396,0.490740741,0.393220339,0.111533772,0.162014661,0.153651429,0.033893824,0.002111689,0.002240065,0.001998551,0.95959596,0.973678533,0.894117647,0.988797244,2p1c,0.744878997,0.819767446,0.138414814,0.786330996,0.737973184,0.723147415,0.735716901,0.737851771,0.634757338,1,1,14
2134,OHIO,OH,VANWERT,0.002884871,0.999511454,0.802355188,Very Low,0.867049946,0.849776159,0.970699997,Very High,0.908731585,VAN WERT,0.647644395,0.81,0.077938985,0.830687831,0.747948124,0.535614987,0.985153609,0.827754593,0.31810169,0.602348993,0.603395062,0.552542373,0.158839307,0.04281536,0.03452015,0.014986076,0.005359076,0.004385669,0.003750495,0.96969697,0.971089536,0.852941176,0.955949893,2p1c,0.90827666,0.951550378,0.325463224,0.677701611,0.924705138,0.782807507,0.914878757,0.921249469,0.634027657,1,1,15
3100,WISCONSIN,WI,OZAUKEE,0.009113153,0.998834347,0.503500955,Relatively Low,0.474088713,1,1,Very High,1,OZAUKEE,0.96048217,0.92,0.258859663,0.862433862,0.864138277,0.672402467,0.94166328,0.747338354,0.656339136,0.525167785,0.524691358,0.484745763,0.16498415,0.115171452,0.094308187,0.030821113,0.019998935,0.015882869,0.013008564,0.97979798,0.970873786,0.864705882,0.969235274,2p1c,0.81786396,0.771317824,0.332581012,0.784244024,0.790630959,0.630749155,0.791994293,0.791452958,0.633835542,1,1,16
863,IOWA,IA,MARION,0.003332118,0.999022937,0.563335455,Very Low,0.537469557,0.851580793,0.972300034,Very High,0.93915439,MARION,0.705392949,0.9,0.165135671,0.833333333,0.752808963,0.601416789,0.968983748,0.798337244,0.535134973,0.593959732,0.608024691,0.53220339,0.178834431,0.062906981,0.054443259,0.026701154,0.006973897,0.00605897,0.004438941,0.97979798,0.981229773,0.888235294,0.916030372,2p1c,0.885242718,0.844961236,0.293386528,0.825312746,0.873162548,0.856237023,0.872330085,0.91675497,0.633349142,1,1,17
2844,VIRGINIA,VA,BOTETOURT,0.00334651,0.999734014,0.916295353,Very Low,0.852982258,0.751459035,0.805199966,Very High,0.871675236,BOTETOURT,0.697344922,0.82,0.096642235,0.849206349,0.758845616,0.586732007,0.985668678,0.881108016,0.233569473,0.647651007,0.657407407,0.586440678,0.188051695,0.09220059,0.075865747,0.021880581,0.006068887,0.005411241,0.00323159,0.97979798,0.992448759,0.870588235,0.949927225,2p1c,0.863525953,0.81201549,0.224661982,0.879743209,0.843922902,0.783071884,0.834287238,0.869301474,0.632432786,1,1,18
517,GEORGIA,GA,RABUN,0.001677153,0.999469061,0.779121579,Very Low,0.738757551,0.552136853,0.203099995,Relatively Low,0.349640789,RABUN,1,0.79,0.120748037,0.85978836,0.785032101,0.505195596,0.991430322,0.794570312,1,0.681208054,0.680555556,0.627118644,0.273591807,0.103799157,0.092880248,0.033272525,0.006051142,0.006855138,0.010619551,0.939393939,0.954045307,0.841176471,0.89119388,2p1c,0.874721041,0.879844962,0.367873141,0.887677689,0.873565604,0.879700092,0.900044176,0.952142651,0.630699962,1,1,19
337,FLORIDA,FL,BROWARD,0.193966947,0.776011507,0.002546149,Very High,0.014984367,0.636374856,0.448400002,Relatively Moderate,0.730281399,BROWARD,0.980146834,0.88,0.130420586,0.788359788,0.825412951,0.628554219,0.858667284,0.64958388,0.555018451,0.986577181,0.941358025,0.959322034,0.304120946,0.113393453,0.089628689,0.04358197,0.472840843,0.599959517,0.912017509,0.929292929,0.955339806,0.847058824,0.731640529,2p1c,0.555089555,0.717054241,0.494535643,0.748533429,0.535509483,0.696842324,0.803373652,0.682624,0.630460595,1,1,20
1257,MICHIGAN,MI,CHARLEVOIX,0.002596034,0.999876011,0.97008275,Very Low,0.870898614,0.821399618,0.943700027,Very High,0.891137673,CHARLEVOIX,0.78348814,0.85,0.145275525,0.862433862,0.801149418,0.597185464,0.992609692,0.849349519,0.315191525,0.505033557,0.50462963,0.46440678,0.166691051,0.128289826,0.154031589,0.04259788,0.001206679,0.001227987,0.001140561,0.949494949,0.96763754,0.747058824,0.91712859,2p1c,0.879839695,0.703488382,0.283142285,0.825312746,0.827698458,0.759300363,0.834159085,0.854598191,0.630362213,1,1,21
913,KANSAS,KS,CLAY,0.000804845,0.999490105,0.788987906,Very Low,0.75535479,0.82248636,0.945599976,Very High,0.980877094,CLAY,0.562646298,0.76,0.234595591,0.843915344,0.68917057,0.60160147,0.99020567,0.751532593,0.279043982,0.652684564,0.683641975,0.56779661,0.137576201,0.039102078,0.031871361,0.015021327,0.001171189,0.001012077,0.000832302,0.96969697,0.979503776,0.870588235,0.884759945,2p1c,0.900883049,0.844961236,0.276218647,0.728727676,0.887421921,0.909816553,0.894579867,0.925863858,0.6302511,1,1,22
914,KANSAS,KS,CLOUD,0.000895794,0.999628719,0.861553151,Very Low,0.889215133,0.813187243,0.929300003,Very High,0.971315641,CLOUD,0.804472985,0.72,0.096470167,0.851851852,0.672677985,0.483262401,0.978497612,0.766919339,0.287976085,0.654362416,0.688271605,0.566101695,0.121726408,0.032427181,0.02438191,0.01204115,0.000532359,0.000445314,0.000400738,0.96969697,0.966558792,0.852941176,0.724039302,2p1c,0.902020527,0.833333297,0.33430948,0.728727676,0.885127067,0.909816553,0.902629194,0.936005085,0.629328,1,1,23
1915,NORTH CAROLINA,NC,CAMDEN,0.001028019,0.998857842,0.510502864,Relatively Low,0.773043478,0.720363855,0.707200012,Relatively High,0.909644269,CAMDEN,0.620473201,0.88,0.031796429,0.875661376,0.85006105,0.545472905,0.995557956,0.860129353,0.620473201,0.726510067,0.712962963,0.681355932,0.220141429,0.099067007,0.082474111,0.028569456,0.002981208,0.00309021,0.002697273,0.96969697,0.968932039,0.823529412,0.93287584,2p1c,0.893205068,0.85465118,0.208491044,0.557185701,0.883198463,0.907877817,0.841803836,0.870458191,0.629300526,1,1,24
3069,WISCONSIN,WI,DOOR,0.002997307,0.999538322,0.817313813,Very Low,0.725076856,0.943438673,0.9975,Very High,0.958168643,DOOR,0.793920043,0.9,0.119114884,0.849206349,0.778304022,0.652281367,0.970384202,0.814722831,0.371549258,0.486577181,0.475308642,0.462711864,0.154206291,0.10803912,0.08431878,0.035900193,0.010877859,0.009338101,0.012119749,0.95959596,0.961380798,0.841176471,0.959146245,2p1c,0.861924407,0.765503885,0.25880558,0.750596031,0.829135141,0.762935509,0.831499177,0.839683355,0.628857423,1,1,25
809,IOWA,IA,BREMER,0.002489194,0.999155422,0.616804583,Very Low,0.699724518,0.904946472,0.991999969,Very High,0.989859065,BREMER,0.73835441,0.96,0.082416396,0.828042328,0.828126562,0.638071816,0.978097142,0.829700179,0.360252921,0.535234899,0.557098765,0.469491525,0.182979761,0.052303342,0.042458011,0.016143483,0.004347595,0.003751434,0.002471216,0.97979798,0.991370011,0.870588235,0.888922382,2p1c,0.90031431,0.82945739,0.215034273,0.767842845,0.882460854,0.791003053,0.839799925,0.875583245,0.628662388,1,1,26
542,GEORGIA,GA,UNION,0.002454014,0.999368242,0.719605347,Very Low,0.67561588,0.54062265,0.174699993,Very Low,0.292813285,UNION,0.958306268,0.81,0.128242842,0.857142857,0.774996042,0.587578658,0.994636793,0.84921147,0.929684963,0.66442953,0.682098765,0.593220339,0.276079005,0.097963706,0.085055074,0.030910709,0.009600199,0.010593077,0.013887105,0.949494949,0.961380798,0.852941176,0.952439455,2p1c,0.901167418,0.86821703,0.358266771,0.887677689,0.894344984,0.879700092,0.91087059,0.96555227,0.628521751,1,1,27
727,INDIANA,IN,DUBOIS,0.004354041,0.998749825,0.474856779,Relatively Low,0.392851005,0.821158538,0.943000031,Very High,0.967262416,DUBOIS,0.752916103,0.84,0.130530796,0.812169312,0.721644711,0.591033977,0.975821888,0.780354102,0.409629443,0.651006711,0.671296296,0.577966102,0.215410875,0.059147621,0.050653565,0.016150827,0.005820453,0.005114365,0.004593071,0.96969697,0.978425027,0.870588235,0.965025536,2p1c,0.907423551,0.91860464,0.25107465,0.830779747,0.91448696,0.821693599,0.903809068,0.934660254,0.628494027,1,1,28
2133,OHIO,OH,UNION,0.006216589,0.999347145,0.709102482,Very Low,0.718738771,0.855023862,0.973600006,Very High,0.94295724,UNION,0.796938711,0.84,0.098097825,0.825396825,0.886663065,0.610057377,0.977967453,0.814967405,0.510767074,0.609060403,0.608024691,0.562711864,0.153621068,0.11387766,0.095383819,0.027663212,0.017638812,0.01511369,0.012130024,0.97979798,0.970442287,0.852941176,0.986103316,2p1c,0.797372496,0.833333297,0.231215033,0.762375786,0.789718953,0.582280831,0.796127206,0.760200605,0.628074401,1,1,29
2835,VIRGINIA,VA,ALLEGHANY,0.001513245,0.999625143,0.858688733,Very Low,0.694463431,0.649745989,0.485699997,Relatively Moderate,0.38857024,ALLEGHANY,1,0.77,0.06896723,0.862433862,0.664433469,0.476063265,0.986326097,0.827419903,1,0.61409396,0.62654321,0.552542373,0.188636918,0.033295201,0.028910663,0.010554733,0.003974944,0.003764928,0.002928468,0.96969697,0.985760518,0.811764706,0.940058913,2p1c,0.900836436,0.81201549,0.39986805,0.871276452,0.877939033,0.884018185,0.907283997,0.96017766,0.62799731,1,1,30
2000,NORTH CAROLINA,NC,YANCEY,0.001838861,0.999617362,0.853278167,Very Low,0.953754941,0.608780191,0.3625,Relatively Low,0.447826087,YANCEY,1,0.78,0.101019805,0.888888889,0.624155425,0.546875867,0.99128232,0.793086843,1,0.582214765,0.592592593,0.525423729,0.269397708,0.098565039,0.090301198,0.034954291,0.003637783,0.004439646,0.007100251,0.909090909,0.943473571,0.835294118,0.948097171,2p1c,0.909414138,0.837209279,0.360253171,0.689040549,0.892978467,0.830680986,0.874098541,0.911261505,0.627560604,1,1,31
396,FLORIDA,FL,WAKULLA,0.003367298,0.997860215,0.314131127,Relatively Low,0.854108902,0.638433843,0.453199997,Relatively Moderate,0.760250133,WAKULLA,0.712326739,0.91,0.054621758,0.838624339,0.797480712,0.510992499,0.992940472,0.860861529,0.626051416,0.872483221,0.865740741,0.811864407,0.28768593,0.069011178,0.059264361,0.025233832,0.01282984,0.01223939,0.017303651,0.949494949,0.941963323,0.858823529,0.83100963,2p1c,0.818415851,0.862403061,0.291430937,0.750355724,0.817234052,0.8161405,0.927010784,0.876363309,0.627488829,1,1,32
3085,WISCONSIN,WI,KEWAUNEE,0.002048743,0.999648065,0.869828135,Very Low,0.822683355,0.930473037,0.996200027,Very High,0.944224857,KEWAUNEE,0.499878422,0.96,0.092237189,0.843915344,0.722583814,0.644550466,0.999292244,0.876020382,0.253659486,0.5,0.49382716,0.469491525,0.156449646,0.074123022,0.056138033,0.02178511,0.003069934,0.00244248,0.002599658,0.95959596,0.960949299,0.870588235,0.974989253,2p1c,0.89290712,0.912790708,0.194440908,0.755086373,0.899586324,0.7188734,0.853019694,0.865850059,0.627396187,1,1,33
838,IOWA,IA,GRUNDY,0.001225808,0.999220664,0.645448759,Very Low,0.760570128,0.848202502,0.969400024,Very High,0.929013455,GRUNDY,0.835185335,0.86,0.041854007,0.830687831,0.76679525,0.628464935,0.989055649,0.862270713,0.234082245,0.548657718,0.570987654,0.483050847,0.175371861,0.040763466,0.037587157,0.013314592,0.001951981,0.001767762,0.001638915,0.96969697,0.97626753,0.852941176,0.962980141,2p1c,0.934515938,0.802325546,0.208691566,0.844381913,0.905868195,0.786508716,0.863607285,0.905690849,0.627251127,1,1,34
743,INDIANA,IN,HUNTINGTON,0.003653237,0.999184335,0.627625716,Very Low,0.63292662,0.793898651,0.898799973,Very High,0.890874721,HUNTINGTON,0.846789591,0.75,0.093829637,0.814814815,0.708116318,0.517361539,0.972525275,0.782191187,0.466259342,0.592281879,0.597222222,0.538983051,0.175079249,0.045748402,0.037205934,0.016121451,0.008287048,0.00713852,0.00463931,0.97979798,0.98425027,0.841176471,0.927205228,2p1c,0.907423551,0.916666645,0.363292401,0.74877362,0.913931641,0.828798016,0.909518529,0.942459671,0.627121301,1,1,35
1293,MICHIGAN,MI,MANISTEE,0.002493392,0.99986547,0.965626989,Very Low,0.8588028,0.814230009,0.931900024,Very High,0.854850231,MANISTEE,0.79825823,0.79,0.088336994,0.899470899,0.717978522,0.527543861,0.984641038,0.881733744,0.517457654,0.505033557,0.510802469,0.459322034,0.152255547,0.05695981,0.046175203,0.023679851,0.005997906,0.006261386,0.00705915,0.95959596,0.969363538,0.682352941,0.864826035,2p1c,0.861640037,0.837209279,0.334003669,0.825312746,0.849422599,0.750598117,0.851805379,0.877941521,0.626770215,1,1,36
2122,OHIO,OH,PUTNAM,0.003435959,0.99946199,0.774984087,Very Low,0.83282429,0.888417128,0.988199997,Very High,0.977182896,PUTNAM,0.544425416,0.87,0.080311034,0.846560847,0.749112306,0.601139631,0.995744671,0.880846979,0.001190096,0.60738255,0.604938272,0.562711864,0.163082175,0.043460454,0.036668437,0.014035768,0.002892481,0.002361514,0.001931762,0.96969697,0.968932039,0.864705882,0.97492542,2p1c,0.90827666,0.908914726,0.237958317,0.677701611,0.912488183,0.782807507,0.89586553,0.89502999,0.626765136,1,1,37
2278,PENNSYLVANIA,PA,ELK,0.003089155,0.999670895,0.883831954,Very Low,0.899062002,0.774621747,0.856800003,Very High,0.745265766,ELK,0.755695386,0.84,0.061554385,0.846560847,0.721518034,0.563105325,0.97939127,0.809764488,0.432107131,0.52852349,0.541666667,0.472881356,0.199804926,0.025548922,0.026084551,0.011380194,0.001827764,0.002159099,0.00213213,0.95959596,0.973894283,0.823529412,0.954745372,2p1c,0.912542204,0.866279043,0.342230527,0.698079731,0.904160106,0.819250447,0.887051959,0.916922939,0.626058237,1,1,38
1136,LOUISIANA,LA,CAMERON,0.000554787,0.998626559,0.442075111,Relatively Low,0.674530632,0.82646448,0.950400009,Very High,0.921566206,CAMERON,0.783870393,0.77,0.067817775,0.828042328,0.654932809,0.608574303,0.999651782,0.995044248,0.129428521,0.889261745,0.834876543,0.877966102,0.275298708,0.077631912,0.066264153,0.022591476,0.000496868,0.000877134,0.001993414,0.818181818,0.884789644,0.852941176,0.983101181,2p1c,0.845715337,0.841085254,0.255795522,0.582698704,0.836014622,0.783005779,0.82091333,0.818333636,0.62553535,1,1,39
2525,TENNESSEE,TN,UNICOI,0.001784992,0.99981018,0.943666454,Very Low,0.961680882,0.578602383,0.272800007,Relatively Low,0.418764302,UNICOI,1,0.74,0.077865138,0.883597884,0.659234285,0.427503817,0.981900692,0.747206255,1,0.620805369,0.63117284,0.559322034,0.231602048,0.064130755,0.058031392,0.023375811,0.003105425,0.002766345,0.003051772,0.95959596,0.962675297,0.770588235,0.89915661,2p1c,0.92341622,0.790697682,0.434007965,0.70661913,0.89241663,0.851059727,0.980069156,0.958681109,0.62551912,1,1,40
2841,VIRGINIA,VA,BATH,0.000414266,0.999835331,0.956715468,Very Low,0.920918898,0.646805683,0.474500008,Relatively Moderate,0.365924693,BATH,1,0.66,0.076644841,0.857142857,0.604831627,0.507583697,0.998872913,0.77431703,1,0.597315436,0.61882716,0.528813559,0.191611802,0.077528944,0.07337068,0.020799551,0.00060334,0.00064773,0.000909366,0.929292929,0.926429342,0.852941176,0.975310737,2p1c,0.893489438,0.862403061,0.291935049,0.887677689,0.885678964,0.766174073,0.867035143,0.910188802,0.625087282,1,1,41
2691,TEXAS,TX,MASON,0.000387981,0.999719453,0.906429026,Very Low,0.901185771,0.610780146,0.368199997,Relatively Low,0.675889328,MASON,0.720212497,0.8,0.072705451,0.849206349,0.742491315,0.529614714,0.999999146,0.779080513,0.190818708,0.855704698,0.87962963,0.761016949,0.12167764,0.076167708,0.101443418,0.02898953,0.00033716,0.000553269,0.001089185,0.868686869,0.917583603,0.811764706,0.986196023,2p1c,0.880124064,0.967054254,0.30079364,0.616146246,0.903480842,0.881903206,0.962965837,0.932216629,0.625056137,1,1,42
374,FLORIDA,FL,MIAMIDADE,0.269709168,0.755720071,0.001909612,Very High,0,0.611456438,0.371100006,Relatively Low,0.640375199,MIAMI-DADE,0.984810311,0.83,0.142643195,0.828042328,0.74876105,0.639102369,0.823783422,0.535944875,0.739571177,0.991610738,0.930555556,0.981355932,0.301341136,0.139221161,0.119194001,0.054609654,0.455343992,0.593428244,0.924301663,0.929292929,0.956418554,0.911764706,0.626185629,2p1c,0.491959493,0.705426362,0.53750714,0.743066311,0.474621615,0.751919954,0.789578372,0.66318735,0.624870493,1,1,43
714,INDIANA,IN,BOONE,0.007067308,0.999177965,0.62444303,Very Low,0.622014092,0.849395621,0.970400009,Very High,0.989087472,BOONE,0.83122917,0.91,0.363133113,0.777777778,0.858634167,0.602097031,0.961508474,0.814373661,0.320722476,0.595637584,0.600308642,0.544067797,0.167617654,0.09660041,0.080316681,0.022685479,0.023264068,0.016800486,0.009905416,0.97979798,0.986623517,0.870588235,0.980213318,2p1c,0.732589583,0.82945739,0.312423125,0.782421729,0.729545461,0.615679454,0.763203444,0.74102753,0.624545909,1,1,44
2635,TEXAS,TX,HARRIS,0.472346819,0.447988616,0.000318269,Very High,0,0.520051996,0.127299995,Very Low,0.312252964,HARRIS,0.912525192,0.73,0.100336961,0.727513228,0.825838112,0.580762177,0.869313684,0.562350101,0.498327995,0.911073826,0.88117284,0.874576271,0.261643502,0.081713562,0.067634686,0.022382908,0.815058648,0.88919776,0.86623065,0.95959596,0.977993528,0.764705882,0.60334042,2p1c,0.777010208,0.877906974,0.458435928,0.877920914,0.783926871,0.725482698,0.931363215,0.883138902,0.624468306,1,1,45
788,INDIANA,IN,TIPTON,0.001527537,0.999452214,0.767027371,Very Low,0.862089706,0.781291169,0.874000015,Very High,0.847224609,TIPTON,0.569568331,0.78,0.044823617,0.814814815,0.803024536,0.544004417,0.986700488,0.84016434,0.245173882,0.597315436,0.601851852,0.545762712,0.18302853,0.05491847,0.04425718,0.016943974,0.00278601,0.00222657,0.000971018,0.98989899,0.993959008,0.841176471,0.941742806,2p1c,0.889508263,0.883720944,0.270278739,0.825312746,0.888157809,0.827478559,0.893218946,0.920177208,0.624389482,1,1,46
506,GEORGIA,GA,OCONEE,0.004165947,0.999449792,0.764799491,Very Low,0.713500882,0.739418101,0.767300034,Relatively High,0.981057499,OCONEE,0.733055815,0.9,0.196188087,0.801587302,0.897047128,0.641931485,0.983770719,0.837885604,0.010095935,0.765100671,0.771604938,0.7,0.227164106,0.062841854,0.054272952,0.019846306,0.003575675,0.003697456,0.004169214,0.95959596,0.967206041,0.876470588,0.93303033,2p1c,0.76266492,0.769379769,0.314008188,0.704796777,0.739750411,0.812174899,0.765588929,0.783918245,0.624302801,1,1,47
